keys,values
大学附属口腔医院,6
义县九,6
梁家屯,6
生活区,6
徐州市铜山区急救医疗,6
心脑血管,6
青岛博厚慧慈,6
上海市宝山区,6
程家,6
金竹山,6
合江县实录镇,6
文英诊所,6
公安县夹竹园,6
镇新庄村卫生所,6
一六,6
沿江,6
桃源县青林乡,6
万源,6
吉星,6
铜川,6
务川仡佬族苗族自治县浞水镇,6
西盟佤族自治县,6
河坝村,6
塘村卫生站,6
永州市零陵区邮亭圩镇,6
边村卫生所,6
锦州市传染病医院,6
监狱医院,6
衡阳县岘山镇,6
电站,6
荷花,6
县赤水镇,6
峰村卫生所,6
临朐县东城街道,6
陈春,6
八里,6
东街道社区卫生服务中心,6
服,6
青岛博厚医疗管理有限公司,6
宋村,6
邵阳,6
邗江区双桥社区卫生服务中心,6
塔尔,6
红妇科诊所,6
桂阳县太和,6
世纪花园社区卫生服务站,6
塘沽新,6
杭州市江干区九堡街道,6
城北街道,6
漳州市芗城区,6
龙泉街,6
山镇太和,6
镇孟家庄村卫生室,6
珙县下罗,6
长垣县魏庄,6
休宁县,6
诸暨市浬浦,6
绍兴市越城区皋埠镇,6
永年,6
王灵,6
留早镇,6
固本,6
即墨市北,6
无为县,6
川镇尕牧农,6
东禅镇,6
县甘棠镇,6
美奥口腔门诊部,6
龙溪铺镇,6
阳信,6
白沙镇东,6
乡牧野,6
区傅,6
延津县榆林乡,6
东郊乡,6
牡丹区马岭岗镇,6
柴桥街道社区卫生服务中心,6
诸暨市江藻镇,6
诚信,6
氏中医诊所,6
厂职工医院,6
泉村第二卫生室,6
区留守营镇,6
兴胜,6
潼川镇,6
棠,6
李德,6
县流沙河镇,6
泸州市龙马潭区双加镇,6
寨子,6
医院第一门诊,6
临猗县牛杜,6
河堡乡,6
仁福,6
江县普兴镇,6
高安市黄沙镇,6
城区钟家庄,6
区大邱庄镇,6
牛角湾,6
石塔,6
睢宁县梁集镇,6
孙庄,6
信阳市浉河,6
盛唐,6
脑科,6
锦绣苑,6
连锁有限责任公司,6
东街社区卫生服务中心,6
柳州市柳,6
砚山,6
江县东榆,6
市海,6
获嘉县城关镇小,6
东吕,6
张氏,6
北关村卫生室,6
正康诊所,6
育才,6
民委员会卫生室,6
康馨,6
远景,6
清溪镇,6
浩良,6
沙坡头,6
西街社区卫生服务中心,6
南城办事处,6
顺平县,6
闸北,6
旧城镇旧城,6
德耀,6
大庆市让胡路,6
梅田镇车头村卫生室,6
祥泰,6
水畲族乡,6
开原,6
镇新仲,6
宣恩县长潭河侗族乡,6
庄村卫生室3,6
永平县龙门,6
方城县古,6
盐井村卫生室,6
孝南区陡岗镇,6
衡阳市石鼓区黄沙湾街道松木片区,6
湖镇东,6
教场村卫生室,6
仁惠,6
行别营乡,6
蔡牛,6
冠县东,6
西辛,6
兰田镇,6
区急救站,6
州区黄土,6
方城县,6
市下湾镇下湾村卫生所,6
镇东关街,6
新秋镇,6
锦城街道,6
二郎乡,6
涛,6
区石湫镇,6
子坪村卫生室,6
秀川,6
威海临港经济技术开发区苘山镇,6
丹棱县双桥镇,6
老城,6
市金马,6
古蔺县,6
卜,6
宝鸡,6
定点,6
美年大健康体检中心,6
分盐,6
明朗,6
医院第四门诊部,6
滩村第二卫生室,6
霸州信,6
西充县岱林乡,6
仁和堂中医诊所,6
应县,6
汾西,6
怀化,6
泰达,6
清水河村卫生室,6
8,6
城关镇东关,6
楠,6
安仁县灵官,6
东联,6
义乌市廿三里街道,6
镇麻,6
莫干,6
正义,6
咸,6
鼎城区许家桥,6
凌海,6
温春,6
温泉镇,6
长春中,6
天才,6
滨河街道,6
联星街道,6
前进社区卫生服务站,6
勃利,6
镇崔路,6
沿河,6
刘成,6
安平县程油子乡,6
卫生院第六,6
都昌县芗溪乡,6
万胜,6
岭村卫生站,6
泰丰,6
宁都县青,6
康友,6
贤村卫生室,6
二郎庙镇,6
镇杨家庄村卫生室,6
镇联盟村卫生室,6
河间,6
格镇,6
隰县,6
吐哈,6
闽,6
沙头镇,6
三星乡,6
五福,6
堂中医院,6
双凤,6
镇远县舞阳,6
叙州区横江,6
重庆市綦江区赶水镇,6
同仁堂,6
南岔区晨明,6
平桥,6
高陵,6
区鸭绿江,6
塘雅,6
关坝镇,6
西堡乡,6
仁慈,6
修武,6
洛满,6
治疗,6
盂县牛,6
计头乡,6
恩阳区尹家,6
开阳县高寨苗族布依族乡,6
梁家庄村卫生室,6
个旧,6
肛肠病医院,6
伯,6
周文,6
市下湾镇甘井村卫生所,6
刘庄村卫生所,6
合诊所,6
区悦来镇,6
和医院,6
坝村第二卫生室,6
秭归县沙镇,6
容城县小里镇黑龙口,6
鞍山市千山区,6
丹东振兴,6
礼州,6
都昌县大港镇,6
工业园区卫生室,6
双版纳,6
东兴镇,6
万顺,6
立康诊所,6
莆美,6
三汇,6
长春泰康拜博口腔医疗管理有限公司,6
宁波高新区,6
丽口腔诊所,6
段店乡,6
高陵区崇皇,6
河源,6
赣榆,6
嘉和,6
东台,6
宁都县石,6
王静口腔诊所,6
镇孟家村卫生室,6
辉卫生所,6
镇大柳,6
巨鹿县,6
美容外科诊所,6
邢侗街道办事处,6
桃坪乡,6
纳卜藏,6
翁,6
百草堂中医诊所,6
水产,6
黄岛区大,6
鹤壁市,6
临海市桃渚镇,6
辽阳县甜水,6
中医学院,6
屏镇,6
江县玉兴镇,6
园丁,6
龙井社区卫生服务站,6
大荔县,6
平和县芦溪镇,6
江岸,6
振兴社区,6
简阳市踏水镇,6
和计划生育妇幼保健,6
太白县,6
区双江,6
村第一卫生计生室,6
吉安市,6
瓦店乡,6
高安市伍桥镇,6
桥居委会,6
百姓诊所,6
寨子村卫生所,6
特克斯县乔拉克铁热克,6
乡五星村卫生室,6
河流镇,6
仙游县,6
振江,6
张国,6
桥西街道办事处,6
永川市,6
巧马,6
庄村张,6
纳福,6
文峰乡,6
西堡村卫生室,6
张家村卫生所,6
维西,6
口镇北,6
郑庄,6
茶店,6
杨家庄乡,6
市红云,6
广安市前锋区观塘镇,6
民居住区,6
春晖诊所,6
淮河,6
应店,6
湾村第二卫生室,6
资丘,6
和睦家,6
江津区支坪镇,6
枣,6
市精神,6
罕达汽,6
新疆生产建设兵团第七师奎屯,6
大桥村卫生室,6
宜宾市翠屏区永兴镇,6
潮安,6
徐文,6
老翁镇,6
旌德县,6
道沟乡,6
彬中医诊所,6
爱眼,6
元坝,6
金宝,6
建筑公司医务室,6
坡镇,6
爱思特,6
惠州,6
康鑫诊所,6
阳区弥陀镇联合,6
按摩,6
巴林左旗蒙医,6
肇陈,6
州区白,6
城东街道办事处,6
街道办事处莲花,6
观文,6
建兴,6
9,6
东沽港镇东,6
康中医门诊部,6
石咀,6
社区居委,6
碾张,6
平定营镇,6
河头乡,6
鸣皋镇,6
富平,6
丰宜,6
区柳赞,6
满族,6
绥棱县,6
市聚,6
农团,6
康众诊所,6
宅科,6
坂东,6
博山区,6
玉龙纳,6
岐黄,6
环城,6
博济,6
堂中医综合诊所,6
芝兰,6
石首市天鹅洲,6
刘金,6
县三塘镇,6
浏阳市普迹镇,6
宝坻区钰华,6
武都,6
湾村第一卫生室,6
唐山市丰南区小集镇,6
大冶市,6
教育,6
科技健康管理有限公司,6
舟水,6
市柳河,6
共体,6
抚宁县牛头崖镇,6
盛世,6
武进,6
县喻家坳乡,6
华路办事处,6
长兴雉城,6
同源,6
县黄,6
黄甲,6
来镇,6
庄镇张,6
吉祥诊所,6
闸弄口,6
任丘新华路办事处南,6
县云集镇向阳片区,6
新疆生产建设兵团第九师一六,6
柳青,6
总店中医坐堂医诊所,6
湾村卫生站,6
生态旅游经济开发区,6
小芝,6
巨口铺镇,6
兴隆县大杖子乡,6
章丘,6
诸暨市璜山镇,6
施,6
塔里木乡,6
公共交通,6
金鼎,6
禄劝彝族苗族自治县则黑,6
东关办事处,6
都昌县三汊港镇,6
钟灵,6
江夏经济开发区,6
科技发展有限公司,6
永州市零陵区大庆坪乡,6
王景,6
中国电建,6
光明眼科,6
圈村卫生室,6
呼吉尔特蒙古,6
黄金埠镇,6
县苏,6
成中西医诊所,6
县城关街道,6
河镇黄,6
兴胜镇,6
永康中医诊所,6
禄口,6
永顺县灵溪镇,6
镇万安,6
江县仓山镇,6
乌龙,6
水沟村卫生室,6
延长,6
东关社区卫生服务站,6
沈阳欢乐英卓,6
华中医,6
苏州雷允上,6
博白县东,6
新绛古交镇北,6
潼南,6
店乡大,6
龙蟠,6
乡北史家,6
街道金槐社区,6
怀宁县黄墩镇独秀山,6
县城郊街道,6
镇吴庄村卫生室,6
海峡,6
社区卫生服务站2,6
湖街道社区卫生服务中心,6
绍兴市柯桥区杨汛桥镇,6
张敏诊所,6
宿迁市宿豫区豫新,6
富源,6
办事处北,6
坛,6
渠坝镇双,6
广安市前锋区护,6
连云,6
芒市,6
金钟,6
那坡,6
陆良,6
益康中医诊所,6
堂医药有限公司,6
成都青羊,6
市象山区,6
团山村,6
区白庙镇,6
美容医院,6
阳光社区,6
三槐路社区卫生服务中心,6
长垣县樊相,6
吴克,6
平定县岔口,6
深井镇,6
沙井,6
镇土门,6
北小庄乡,6
吴忠,6
县露水河镇,6
中国重型汽车集团有限公司医院,6
驻,6
和计划生育服务,6
县大才乡,6
孟庆,6
砚山县阿舍,6
西郊街道,6
江津区双福,6
睢宁县睢城镇,6
江津区珞璜镇郭坝村,6
莲花村卫生室,6
禹王,6
欣山镇,6
虎中医诊所,6
青龙山,6
鹿寨,6
各,6
务川仡佬族苗族自治县柏,6
皮山县,6
景芝,6
保升乡,6
师庄村卫生室,6
翼,6
龙潭区,6
第五分室,6
庙村卫生所,6
布拖县,6
桑植县,6
县鲍店镇,6
新塘街道,6
云妇科诊所,6
长春市朝阳区永春,6
翠屏,6
东辛农场,6
阜城县大,6
区望水,6
水车,6
李埠口,6
皇甫,6
石槽村卫生室,6
银杏,6
三峡大学,6
晋江市龙湖镇,6
金域医学检验所,6
周至,6
裴医,6
鸡泽县浮图店乡,6
崔黄,6
社区卫生室6,6
国华,6
武午村卫生所,6
老庄,6
黎明社区卫生服务中心,6
普慈,6
河岸上,6
建民诊所,6
镇桂花村卫生站,6
沈北街道,6
瓮安县玉,6
清风乡,6
乡东贾村卫生室,6
真,6
菏泽开发区佃户屯,6
氏,6
桥街道办事处,6
旬邑县,6
吴堡,6
田阳县那坡镇,6
麻阳苗族自治县尧,6
镇黄金,6
龙桥,6
仁中西医结合诊所,6
新圩,6
安厚,6
镇朱阳,6
希望,6
普瑞眼科,6
镇先锋村卫生站,6
镇松柏,6
抚顺,6
职工,6
祁家,6
龙场镇,6
惠丰,6
云集,6
金港,6
遂昌,6
江岸区,6
第八师石河子,6
安次区调河头乡,6
村第二卫生计生室,6
大何庄乡,6
扬州友好医院,6
台子村第二卫生所,6
瓮安,6
二郎庙村卫生室,6
乡胡庄村卫生室,6
家堡村卫生室,6
麻城市歧亭镇,6
计生站,6
桃城区彭杜,6
九华,6
镇梨树村卫生室,6
福建国际旅行,6
医院管理有限责任公司,6
同意村卫生室,6
萍西医内科诊所,6
延吉市,6
洞庭管理区祝丰,6
夏店镇,6
朝阳县古,6
富士康,6
镇郭家屯,6
县两河镇,6
河县三甲集镇,6
镇沿江,6
社区马,6
长沙市岳麓区观沙岭街道,6
稷山,6
二十家子镇,6
上海市普陀区,6
计划生育,6
昌黎县朱各庄镇,6
镇高峰村,6
宁波奉化,6
隆尧,6
乡青,6
镇祝,6
合肥经济技术开发区,6
泸县奇峰镇大,6
乡太,6
那良,6
玉泉村卫生室,6
郫县唐昌,6
黄氏诊所,6
小区居委会社区卫生服务站,6
沟帮子,6
慈善,6
街道办事处张家,6
庙湾村卫生室,6
隆昌市普润,6
还地桥镇,6
珠海市,6
郫县唐元,6
峰社区卫生服务站,6
洗马,6
围场镇,6
滦州,6
莱城区,6
成都双流,6
大英,6
湖北省,6
邵阳市双清,6
黑龙江省八五三农场第一,6
陈营镇马家村卫生室,6
塘湾,6
淇滨区钜桥镇,6
花村,6
县龙溪镇,6
兴唐,6
襄汾,6
南关街道,6
洪山镇,6
柳河县罗通,6
封丘县鲁岗镇,6
张小,6
剑阁县白龙镇,6
四分站,6
港南,6
县人和,6
乌什县依麻木,6
城办,6
寻甸县先锋镇,6
上栗县,6
白云乡,6
堰村卫生站,6
三门峡,6
镇观,6
蓬溪县三,6
县蓼子乡,6
地方病防治,6
皂市,6
增,6
相州,6
镇芙蓉,6
下城区石桥街道社区卫生服务中心,6
县金碧镇,6
崖,6
张氏中医诊所,6
兰山区李官,6
和什托洛盖镇,6
上杭临,6
红庙村,6
盐山县小庄乡,6
东黄金矿业,6
市洮府办事处,6
花木,6
宜康诊所,6
沟镇青山,6
春雨,6
路店,6
护驾迟镇,6
镇丁,6
宜州区刘,6
西涧街道,6
口镇东,6
佳木斯市,6
蓬溪县大石,6
余干县,6
强中西医结合诊所,6
镇李家,6
新宾,6
利发盛镇,6
朝天,6
花洲办,6
思平,6
前七号,6
永登,6
县妇幼保健,6
大学校医院,6
椒园,6
区永嘉,6
富隆,6
成中医内科诊所,6
盐亭县冯,6
镇望云,6
市第六人民医院,6
汝州市,6
管头村,6
天贡,6
半拉,6
丰宁满族自治县选将营乡,6
源潭镇,6
北园街道办事处,6
县倴城镇,6
素,6
樊,6
湖边,6
骨伤,6
庄镇小,6
雨山,6
镇桃,6
嘉农,6
昌黎县泥井镇,6
护龙镇,6
岱山县,6
新园,6
新农村,6
高桥村卫生室,6
庄村卫生,6
乡凉水,6
自由路办事处,6
泸县奇峰镇红,6
浚县伾山,6
松原市,6
藤县藤州,6
熊,6
谢桥街道办事处,6
岭后,6
华瑶族自治县,6
明西医诊所,6
泰州市第四人民医院,6
洪范池镇,6
玉田县妇幼保健院,6
郓州,6
琴断口,6
揭阳,6
丰宁满族自治县石人沟乡,6
李树,6
镇白龙,6
沙洋县,6
井湾子,6
茶源,6
三姐镇,6
潭丘,6
定昌,6
台前县城关镇,6
新疆生产建设兵团,6
临泽县板桥镇,6
药店中医坐堂诊所,6
本草堂诊所,6
小冀,6
当,6
清江浦区,6
塔山村卫生室,6
封丘县黄陵镇黄陵,6
天池村卫生站,6
莒,6
图里河镇,6
新店子镇,6
定襄,6
通河县富林乡,6
健康口腔诊所,6
路中医,6
老年养护院,6
汶,6
寺沟村卫生室,6
雨朵镇,6
三塘镇,6
繁峙县繁城镇,6
邹平县,6
安溪镇,6
五指山,6
贵港市港南区木梓镇新,6
洑口,6
临沂市罗庄,6
龙港陈,6
双辽市玻璃山镇,6
山街道办事处社区卫生服务中心,6
店子村,6
法库县柏家沟镇,6
品,6
县双河镇,6
县双塔,6
富顺县长滩镇,6
宏业,6
贵港市港南区八塘镇,6
飞龙镇,6
汪家圩乡,6
国中医内科诊所,6
花山,6
县白地,6
古城办,6
龙山村卫生所,6
天泽,6
边村卫生室,6
孟津县城关镇,6
万全区郭磊庄镇,6
木桥,6
甘肃众友健康,6
虎形,6
西陌镇,6
民健,6
公主府,6
县胡各庄镇,6
滨河街道办,6
峒,6
大鹿庄乡,6
乐至县双河场乡东岳,6
市铁路,6
闸,6
宏光,6
秦皇岛市海港区卫,6
洛江区,6
一间房村卫生室,6
渠县清溪,6
宝应县,6
宁津县长,6
彝良县,6
新化苗族彝族满族乡,6
一组卫生室,6
皮肤,6
健康管理有限责任公司,6
湄江,6
高桥,6
万载县马步乡,6
章中医诊所,6
隆回县六都,6
药房中医诊所,6
杭州市下城区妇幼保健院,6
试马,6
太古,6
寨坝镇,6
弋阳县,6
太谷县侯,6
镇瓦窑村卫生室,6
清涧街道办,6
印合,6
家湾,6
太谷县胡,6
仁堂中医门诊部,6
珠晖区人民医院,6
乐至县龙溪乡,6
重庆市巴南区石龙镇,6
宣汉县上峡,6
城关镇大,6
信丰县,6
安岳县两板桥镇,6
泥江口镇,6
营山县增产乡,6
崇仁县,6
花溪区,6
庆潮鸣,6
洋七,6
绍庆,6
兰路街道,6
镇石板,6
毕店镇,6
社区大,6
三圣,6
田墩镇长塘村,6
土桥镇,6
海螺社区,6
学校卫生所,6
叶茂台,6
月河飞英,6
垭村卫生室,6
海力锦,6
松山区,6
莱芜市莱城区,6
绍兴市越城区马山镇,6
县高燕,6
县沙子镇,6
商河县,6
高阳县晋庄乡北,6
市余,6
晓东,6
乡解放村卫生室,6
第一作业站,6
青神县黑龙镇,6
玉环市大麦屿中心卫生院,6
镇上庄村卫生室,6
和县依其艾日克乡,6
四联,6
才中医诊所,6
医门诊部,6
第三作业站,6
南岗区王岗镇,6
利达,6
田村第一卫生室,6
远安县茅坪,6
田村第三卫生室,6
峰村卫生站,6
镇青松,6
秋林镇,6
白水县,6
云和,6
五指山市,6
龙宫,6
光明中医诊所,6
胜芳,6
家岭街道,6
十里铺镇,6
中心卫生院第四门诊,6
高新区孙,6
淮阳,6
大邑,6
第二分点,6
坞,6
涵江区萩芦,6
明华诊所,6
颐和,6
都江堰市崇义,6
古宋,6
镇蟠龙,6
王泽,6
丁蜀,6
新化苗族彝族满族乡联合,6
乌市,6
原阳县陡门,6
界市,6
新甸,6
威宁,6
发展乡,6
县金兰,6
宣州区,6
青得里乡,6
高庄镇东,6
晓红,6
年丰朝鲜族乡,6
县双桥镇,6
双辽市柳条乡,6
侯家,6
常德经济技术开发区,6
白雀寺镇,6
公营子镇大,6
游仙区石马,6
波中医诊所,6
上栗县东,6
小寒村,6
协力,6
区鸭江,6
海路,6
磨,6
店子乡,6
高阳县小王果庄乡,6
棋盘井镇,6
步,6
新津,6
荣县留佳,6
王庄村,6
鹤庆,6
刘建,6
平煤神马,6
镇马鞍,6
镇新兴村卫生室,6
县罗秀,6
芷江侗族自治县梨溪口,6
托,6
祠堂,6
星星村,6
德驭医疗,6
八团,6
天府,6
新城子,6
包公,6
二分店中医坐堂医诊所,6
威县枣元乡,6
武汉市蔡甸,6
张庄镇大,6
杨进,6
区荷尧,6
泸县喻寺镇雷达,6
街道灯塔,6
镇双石,6
多伦县,6
洋县龙亭镇,6
民权村卫生室,6
会昌县人民医院,6
涵江区大洋乡,6
进宝,6
办事处北关村,6
县青原,6
天兴,6
字,6
营山县清源乡石板,6
梨木,6
星社区卫生服务站,6
温泉村卫生室,6
严塘镇,6
苏家村卫生室,6
丰都县双,6
莫力达瓦达斡尔族自治旗宝山镇,6
新塘镇三,6
山底村卫生室,6
临湘市桃林镇,6
主,6
贺州,6
高楼,6
镇大孟,6
湘湖镇东,6
窝铺村卫生室,6
邵园,6
湘雅萍矿,6
十里坝,6
县黎,6
蓬安县茶亭乡,6
东港市,6
秀谷镇北,6
南陵县,6
烟工业有限责任公司,6
口腔科,6
新城区毫沁营村,6
职教,6
同仁县,6
预防接种门诊部,6
美约会,6
倒马关,6
宁化县石壁,6
天星寺镇,6
习水,6
县土,6
军中西医结合诊所,6
钟山镇,6
吉首市乾州,6
区杜北,6
区姚家,6
镇郭家村,6
绍兴市越城区马山街道社区卫生服务中心,6
城子村,6
小华诊所,6
祁阳县浯溪,6
武汉市武昌,6
茶亭镇白沙,6
隆昌县,6
内丘,6
大罗密,6
洛川县,6
县执业,6
东方市江边,6
永明,6
灵川县,6
张海,6
中心卫生院第五,6
梓埠镇联合,6
县永燊彝族苗族乡,6
祁阳县潘,6
平息乡,6
水仙,6
山底乡,6
安化县梅,6
区疾控中心,6
德感中心卫生院,6
坪社区,6
留宾,6
区艾丁湖,6
四组卫生室,6
平顶山市,6
大药房药业股份有限公司朝阳区,6
营山县清源乡,6
花源镇,6
莫力达瓦达斡尔族自治旗红彦,6
海棠镇,6
孟庄镇,6
百花,6
海岸,6
增福,6
垫江县,6
哈巴河县,6
安康门诊,6
岩乡,6
随州市曾都区,6
蓬安县金溪镇,6
县幸福,6
雪松,6
梅山村卫生室,6
嵩口镇,6
黄陵,6
何家,6
李全,6
园社区卫生服务中心,6
德善,6
漳浦县古雷,6
肥,6
平安县三合,6
泾干,6
齐贤街道,6
浚县,6
医疗美容管理有限公司,6
县红旗,6
洪源,6
西和县石峡镇石峡,6
老庙乡,6
桦川县东,6
区老,6
扬武,6
北斗溪镇,6
阿里地区,6
陇把镇,6
马岭,6
洪洞县辛,6
阳朔县普益,6
峨,6
东黄花,6
安宁市,6
张氏益寿堂医药连锁有限公司,6
莲花村卫生站,6
镇大寨村卫生所,6
吐鲁番市葡萄乡,6
仙师,6
养马村卫生室,6
五台县豆村,6
周庄村卫生室,6
民间,6
县松,6
仪,6
昌盛,6
芷江侗族自治县罗旧,6
苗族乡,6
道办事处,6
亭镇,6
莫力达瓦达斡尔族自治旗杜拉尔,6
双庙村卫生室,6
峨边彝族自治县,6
老干部活动中心,6
乡白果,6
十四,6
沙锅屯乡,6
化工有限公司医务室,6
河头村,6
皮肤专科门诊部,6
西陵镇,6
区靳岗乡,6
小红,6
红艳,6
瑞丰,6
容城,6
庆远镇,6
农安靠山,6
民康中医,6
夏蔚,6
岗子,6
下埠镇,6
威县梨园屯镇,6
一品药业连锁有限公司,6
鼎,6
胡台,6
巫溪,6
奎屯,6
新丰村卫生室,6
活水,6
镇红花村卫生室,6
邢台县将军墓镇,6
福利路街道,6
铁炉,6
台前县孙口镇,6
市丰满,6
城厢街道,6
船场镇,6
高丰,6
唐洞街道,6
水井,6
隆回县高平,6
清原满族自治县人民医院,6
册山街道,6
一品,6
青岛市黄岛区薛家,6
富兴,6
乡东升村卫生室,6
应城市蒲阳,6
江界河镇,6
蓬溪县群力,6
虎山,6
大寨村卫生室,6
溪村卫生计生服务室,6
道沟,6
宏达,6
白沙黎族自治县,6
商丘,6
镇刘家村,6
惠泽,6
山子镇,6
新疆生产建设兵团第八师一,6
宽甸满族自治县虎山镇,6
桥西医内科诊所,6
韶关,6
桥村第三卫生室,6
岸,6
世家,6
营子村第三卫生室,6
实验中学医务室,6
鼓楼社区卫生服务站,6
区椑木,6
浮,6
医院第三门诊,6
镇石柱村卫生站,6
溪县,6
市天宫乡,6
研城镇,6
青年路,6
县罗,6
川主村卫生站,6
水县,6
市洎阳,6
万全区孔家庄镇李,6
区硕放街道,6
县可久,6
康综合门诊部,6
文玉,6
武当,6
总发,6
山乡东,6
地村第一卫生所,6
淄博高新区石桥,6
化隆回族自治县,6
乌什县阿克托海,6
衢州市,6
清油河,6
雨台,6
瑞尔口腔门诊部,6
修齐,6
区谢庄乡田,6
芳西医内科诊所,6
顺河村,6
翁牛特旗乌丹,6
荆州纪南,6
西医院,6
路街道办事处社区卫生服务中心,6
喀喇沁左翼蒙古族自治县六官营子镇,6
琼海,6
义蓬,6
宁阳县堽城镇,6
坡头,6
白马村卫生室,6
地镇,6
密,6
兰西医妇科诊所,6
区秣陵街道百家,6
共华,6
旺庄,6
生态文化旅游,6
平凉市崆峒区大寨乡,6
蟠龙,6
下坝乡,6
居委会第二卫生室,6
凤山街道,6
明中西医诊所,6
孝昌县陡山乡,6
二农场第三,6
山镇大,6
安溪县凤城镇,6
小组卫生室,6
内科,6
井乡,6
湖雷,6
广信,6
县永丰,6
临沂临港经济开发区朱芦,6
宁海跃龙,6
关巷,6
泉水镇,6
塘乡,6
巫溪县古,6
水洛,6
土城镇,6
梨,6
湄洲岛,6
银窝沟乡,6
南京玄武,6
白螺,6
社区张,6
云田乡,6
厚德,6
芷江侗族自治县冷水,6
程油子乡,6
云峰村卫生室,6
西郊社区卫生服务站,6
上海雷允上,6
清涧县下廿里铺镇,6
塔山镇许家村卫生室,6
田村第二卫生室,6
李建,6
益丰,6
寻旺乡,6
临洮县,6
嫩江,6
旺村卫生所,6
德昌县六,6
相城,6
乐至县龙门,5
汽车,5
子村卫生,5
横县石塘镇,5
辛店,5
城臧屯,5
云飞诊所,5
港南区八塘镇岑西,5
曹县桃源,5
镇双桥村卫生室,5
扶余市长春,5
紫云苗族布依族自治县松山街道,5
赵德,5
区杨成,5
仕,5
黄岛区王台镇,5
杨万,5
辉西医内科诊所,5
菊,5
承德县六沟镇,5
岢岚,5
英吉沙,5
靖民,5
淮阳县豆门,5
江津区珞璜镇小岚垭村,5
永川区朱沱镇,5
黎济,5
镇柏树村,5
南靖县靖城镇大,5
镇黄连,5
师范大学医院,5
桥镇东,5
嘉乐,5
商学院,5
靖宇,5
县沙,5
独山县上,5
红花岗万里,5
龙口经济开发区,5
站前街,5
陈立,5
郑德,5
镇大田村,5
万和,5
市龙潭区,5
元兴乡,5
杞县城关,5
县赵寨子镇,5
汤阴县白,5
寺台,5
七涧乡,5
七涧乡七涧,5
路药店,5
馆镇,5
医师王,5
瓮安县永和,5
诸暨市浣东街道社区卫生服务中心,5
乡土门,5
西秀区旧州,5
洛浦,5
街道卸甲甸,5
龙池乡,5
建工师,5
铁清,5
苑诊所,5
河坝村卫生站,5
吉林油田总医院,5
顾家营镇,5
舟山市普陀区,5
康骨,5
巴音布鲁克,5
镇五福,5
街道河,5
承德市双桥区潘家沟,5
镇长胜村卫生室,5
营山县朗池镇九岭村卫生室,5
凌海市双羊,5
浦江县白马,5
开原市红十字会,5
文教,5
联村卫生所,5
玉屏县,5
乡马鞍山村卫生室,5
孙庄村卫生室,5
新源县别斯托别乡,5
镇板桥村卫生室,5
岩头,5
区龚家,5
和睦村卫生室,5
水湾,5
向家,5
左权县,5
石佛,5
武鸣县城厢镇,5
二道沟村卫生所,5
镇胥各庄,5
二道河子乡,5
北校区,5
全中医内科诊所,5
东坡区柳圣乡,5
镇金山,5
御,5
巷口镇,5
街道崔庄村,5
大同煤矿集团,5
下村卫生计生服务室,5
山子,5
青龙满族自治县八道河镇八道河村,5
故,5
镇樟,5
汶阳,5
沙井村卫生所,5
医疗服务,5
新店镇高观村卫生室,5
团山子村卫生室,5
东屏镇,5
龙镇红土地村卫生室,5
涂,5
营山县柏坪乡,5
宽甸满族自治县毛甸子镇,5
华舍街道,5
太原宏仁堂中医诊所,5
城乡统筹发展试验区,5
平定县柏井镇,5
盛中医诊所,5
市实验小学医务室,5
德善堂诊所,5
镇永红,5
扎龙镇,5
重庆市永川区大,5
文登市,5
县横,5
营山县双流镇,5
店村卫生站,5
苏州市相城区,5
融水县,5
亚古城,5
康中西医门诊部,5
镇三圣,5
中医院有限公司,5
屏街道,5
玉峰,5
龙溪村,5
绵阳市涪城区,5
碑垭村卫生室,5
湄潭,5
乡白塔,5
中医肿瘤医院,5
武棚乡,5
镇群利,5
南区八,5
古田县城,5
刘景,5
管理局医务室,5
店中医坐堂诊所,5
坨村卫生室,5
技术,5
街社区卫生室,5
区圭塘街道,5
新农村卫生室,5
台子村,5
度假区,5
济川乡尖山村卫生室,5
重庆市长寿区但渡镇,5
区柳林乡,5
军卫生所,5
寨圩镇,5
德昌,5
重庆市永川区茶山,5
天柱县邦洞镇,5
镇柏树村卫生室,5
镇两河口,5
干一,5
办事处姚家边管理处,5
铺街道,5
坑村卫生室,5
齐河县焦庙镇,5
无,5
下伍旗,5
苏州市立医院,5
县五,5
夏津县苏留庄镇,5
邢家庄村卫生室,5
县协和门诊部,5
中尊医,5
玛纳斯,5
塘村卫生计生服务室,5
镇双江,5
白岩乡,5
永州市零陵区菱角塘镇,5
思依,5
南京扬子,5
惠宾,5
城县董地,5
益群诊所,5
金沙县大田彝族苗族布依族乡,5
无极县东,5
海棠村卫生站,5
西岑,5
济康,5
老铺,5
四堡子镇,5
岭村第二卫生室,5
坪分院,5
荔浦县,5
齐泰,5
厂保健站,5
重庆泰康拜博口腔医院管理有限公司,5
和顺县松烟,5
盐井村,5
镇陈庄村卫生室,5
汇川,5
秦家,5
君山区,5
罗泉镇,5
马兰峪镇马兰峪四,5
平个体诊所,5
落,5
远洋,5
下河乡,5
水井村,5
油麻,5
湾乡,5
木头凳村,5
县观美,5
天津静海,5
周永,5
海子村卫生室,5
洋河镇,5
南靖县龙山镇,5
符草楼镇,5
医疗器械有限公司,5
雪野镇,5
